Language,repo_num,Developer,Commits
JavaScript,76806,174167,1631491
HTML,68940,173527,1688192
Shell,61081,175352,1629161
CSS,59323,169033,1504062
Python,46882,161228,1281652
Makefile,29323,150178,979934
Java,26019,133436,749617
Ruby,23774,135828,756509
C,22552,136462,799159
C++,22125,132141,688343
PHP,21893,115742,541712
Batchfile,13147,127777,676377
Objective-C,10972,100912,415042
C#,10011,96268,385035
CMake,8390,94929,323571
Go,8091,102797,386872
Perl,7251,95752,356395
ApacheConf,6105,71175,175303
TypeScript,5909,91866,324917
PowerShell,4798,95791,331927
M4,4324,68271,182290
Roff,3822,78633,230849
CoffeeScript,3749,64264,142875
Assembly,3538,65893,166626
Swift,3533,52839,117772
XSLT,3333,77164,236021
Vim script,3082,38633,74988
TeX,2944,48748,104912
Lua,2924,54400,129743
R,2889,57069,125700
Protocol Buffer,2750,81309,239101
Groovy,2740,73852,208249
Jupyter Notebook,2662,45799,102242
Scala,2598,55119,122978
Smarty,2237,59024,130586
Emacs Lisp,2011,46104,94391
Rust,1966,39035,75861
QMake,1948,41309,78078
Haskell,1924,29410,50112
PLpgSQL,1883,54566,122127
Matlab,1874,33811,59155
Nginx,1762,57208,120690
Yacc,1740,47912,96075
GLSL,1712,44580,88131
ASP,1690,51315,109513
Awk,1631,45447,88963
Objective-C++,1544,49196,107645
Lex,1504,35629,65695
Vue,1483,34139,56846
Gherkin,1450,64164,159598
Arduino,1321,19831,27962
PLSQL,1273,36540,68311
Visual Basic,1219,49298,102966
SQLPL,1162,47912,93559
Clojure,1156,26967,45093
NSIS,1109,40044,68826
Kotlin,1081,24723,39182
Perl6,1069,38252,71912
Pascal,997,26452,40069
Fortran,961,28658,46334
SourcePawn,959,20268,29769
Puppet,851,19719,29399
Tcl,836,28665,45842
GDB,804,17225,25846
Elixir,757,14898,20555
Smalltalk,752,23187,33067
FreeMarker,732,24422,37868
QML,726,19240,25218
Scheme,719,18961,28040
Erlang,683,12940,16678
OCaml,669,18833,27248
Mako,663,20818,30006
Cuda,659,22734,31657
Inno Setup,629,32314,58327
Julia,606,9930,13128
Prolog,577,18848,26410
GAP,551,23729,38416
ActionScript,539,24008,36371
Groff,520,4053,4642
Logos,517,15493,22048
F#,516,25095,38524
ANTLR,507,28413,45603
Scilab,490,10678,15339
DIGITAL Command Language,474,29155,51999
UnrealScript,461,5399,7386
Thrift,457,28881,43487
Standard ML,440,19359,27066
Common Lisp,429,12211,16627
Gnuplot,429,11119,14087
HLSL,421,21574,32749
D,412,15752,21153
M,402,8208,10532
Mathematica,394,9955,12740
PostScript,392,15231,20898
HCL,374,24705,37524
Processing,347,8194,9517
Dart,330,6670,8857
SaltStack,327,30933,48808
Elm,322,8990,11401
AppleScript,320,16076,22481
DTrace,296,15212,21381
Nix,288,8920,10463
OpenEdge ABL,279,14859,19218
ShaderLab,265,14507,20061
LLVM,253,17332,24830
Verilog,253,9448,11835
Vala,242,6181,8212
KiCad,238,4381,4975
VimL,230,6124,7032
IDL,220,11622,15254
Ada,217,8628,10344
Haxe,211,4398,5030
POV-Ray SDL,205,10083,11876
Meson,203,9423,12350
Module Management System,190,11154,14520
SuperCollider,190,9035,11759
Eagle,187,2517,2763
BitBake,184,5185,6373
XS,184,6188,7305
AMPL,177,8032,10009
PAWN,171,11936,15583
Web Ontology Language,168,8624,11366
VHDL,163,3394,3932
Forth,160,4764,5432
SAS,155,5766,7001
Cucumber,153,3149,3634
Coq,146,6200,7567
1C Enterprise,142,15908,22324
Crystal,133,3252,3669
AutoHotkey,133,3412,3789
OpenSCAD,131,5823,6673
Racket,129,1794,2092
PureScript,124,4362,4916
SystemVerilog,118,3738,4066
PureBasic,116,13056,17636
ColdFusion,115,2438,2794
Rebol,114,5629,6677
API Blueprint,113,5340,6185
Xtend,112,4803,6102
Nim,112,2397,2468
XQuery,107,3176,3379
NewLisp,106,3000,3232
Stata,102,3437,4013
Cap'n Proto,101,7233,9324
Liquid,99,3275,3804
AspectJ,95,6938,8926
Ragel,93,6248,7117
DM,91,14637,20372
LiveScript,87,2138,2533
CLIPS,84,1755,1864
RAML,84,6414,8156
Pure Data,84,2632,3189
MAXScript,82,3077,3437
Max,82,3506,3953
Brainfuck,76,5789,6637
GCC Machine Description,76,1621,1739
Apex,75,2225,2407
RobotFramework,73,3298,3639
Mask,72,2111,2222
SQF,71,1338,1537
Limbo,71,3407,3983
Game Maker Language,70,4508,5498
AGS Script,67,3216,3499
EmberScript,66,2680,3052
Arc,64,2176,2486
AutoIt,63,2276,2523
Terra,58,3263,3815
SRecode Template,57,8302,10572
Mercury,57,1115,1222
FLUX,56,2332,2673
