Language,repo_num,Developer,Commits
JavaScript,69456,116741,895454
HTML,60333,116554,906838
Shell,57569,115773,867649
CSS,52733,112241,830727
Python,44158,107869,733759
Makefile,27100,101516,577912
Java,25635,93081,475778
Ruby,23058,91547,466655
C,22733,91515,463239
C++,21821,87259,405890
PHP,19860,76112,337004
Objective-C,12738,72590,281389
Batchfile,12043,86009,397248
C#,9720,63518,219530
Go,8496,70492,253554
CMake,8010,60987,189761
Perl,7045,63156,197485
TypeScript,5182,63382,191473
ApacheConf,4963,43836,107922
PowerShell,4219,61975,183111
Swift,4160,40330,97674
M4,3995,44937,105906
Assembly,3589,44174,101621
CoffeeScript,3410,42099,95739
Roff,3350,51040,134154
XSLT,2994,49981,127468
Lua,2969,34811,78507
TeX,2715,31208,55663
Groovy,2654,47394,121164
Protocol Buffer,2630,52146,140323
Scala,2529,36239,73174
R,2526,36039,73805
Jupyter Notebook,2431,33115,67360
Vim script,2419,25503,44119
Smarty,2036,37480,79814
Emacs Lisp,1911,29535,53742
Rust,1894,25639,45005
Matlab,1830,21217,33181
Haskell,1826,19469,32589
QMake,1777,25747,45202
ASP,1710,30319,58065
PLpgSQL,1692,35945,70604
GLSL,1670,28753,54034
Awk,1634,30643,53856
Yacc,1628,30633,54032
Objective-C++,1564,33036,67527
Nginx,1534,33756,68802
Lex,1418,23546,38495
Vue,1289,24176,42398
Arduino,1249,12069,16246
Gherkin,1243,39189,86552
Clojure,1238,17810,28143
Visual Basic,1126,31077,60859
PLSQL,1095,23133,39563
NSIS,1051,25878,41545
SQLPL,1032,30016,52401
Kotlin,1018,17837,28256
Pascal,978,16844,23859
Perl6,961,25370,40186
SourcePawn,921,13139,18822
Groff,838,4025,4755
Tcl,822,17490,25963
Fortran,811,17617,25582
Puppet,794,10370,13363
Elixir,776,9739,13092
GDB,737,11512,15826
Smalltalk,736,14397,18924
Erlang,695,9291,11848
Cuda,689,14661,20307
FreeMarker,666,16493,24302
Scheme,644,11591,15460
OCaml,610,11519,15938
QML,604,11370,14858
Inno Setup,595,20870,35694
Mako,588,12642,17276
Prolog,582,12551,17881
Julia,549,6220,7670
GAP,544,14818,22513
ActionScript,533,13871,20200
Scilab,531,6774,9134
F#,487,15355,23725
UnrealScript,484,4403,5568
Logos,479,9761,13130
DIGITAL Command Language,460,17657,28043
ANTLR,458,17281,27114
Thrift,451,18329,27057
Common Lisp,418,7212,9527
VimL,416,4347,5360
M,415,4693,5677
D,411,9658,13828
Standard ML,405,11966,16254
Gnuplot,402,5915,7836
HLSL,368,12572,17791
PostScript,366,9280,12330
Mathematica,337,6145,7695
HCL,335,15159,22088
Elm,333,5736,7058
Processing,316,4724,5239
AppleScript,311,10330,13188
Dart,297,4655,5378
DTrace,293,9560,13244
Verilog,289,5242,6484
SaltStack,273,15280,23016
Nix,260,5727,6768
OpenEdge ABL,259,8837,11457
IDL,224,7302,9660
Ada,223,5509,7098
Cucumber,215,2147,2423
Vala,210,3771,4881
LLVM,209,12580,18038
KiCad,207,2634,2788
SuperCollider,201,4996,6608
Haxe,200,2911,3301
Module Management System,195,6590,8478
ShaderLab,191,8609,11053
POV-Ray SDL,185,6224,7258
Meson,180,5811,7742
XS,178,4343,4733
BitBake,173,3054,3801
Forth,172,3024,3726
Eagle,169,1453,1617
SAS,168,3728,4620
PAWN,166,6761,8557
VHDL,158,2114,2363
AMPL,154,4850,6079
Coq,153,3247,3740
Web Ontology Language,148,5210,6361
Crystal,146,2147,2411
OpenSCAD,134,3332,3707
SystemVerilog,131,2130,2364
Racket,129,1103,1221
AutoHotkey,123,1869,2207
ColdFusion,118,1648,1885
API Blueprint,116,3487,4182
Rebol,112,3629,4294
1C Enterprise,109,9070,11995
PureBasic,109,9544,12566
XQuery,106,1884,2137
GCC Machine Description,103,1091,1232
NewLisp,100,1672,1890
CLIPS,99,1145,1254
PureScript,99,2619,2911
Xtend,99,2770,3379
Pure Data,96,1582,1893
Liquid,93,2143,2642
Nim,93,1379,1489
Cap'n Proto,93,4862,5996
AspectJ,92,2244,2620
LiveScript,90,1605,1863
Stata,88,1789,2211
Max,85,2386,2779
Ragel,85,4887,5607
DM,82,7880,10404
RAML,80,4134,5074
Brainfuck,76,3319,3837
Apex,74,1446,1611
MAXScript,74,2457,2789
FORTRAN,70,176,184
AGS Script,70,1369,1620
Mask,70,1249,1392
Limbo,69,1759,2039
RobotFramework,69,2017,2263
FLUX,65,1300,1400
AutoIt,63,1411,1494
GDScript,61,659,805
Mercury,61,667,739
Arc,61,1225,1363
Game Maker Language,58,2502,2887
SQF,58,588,661
EmberScript,57,1372,1581
Slash,56,1502,1678
PigLatin,55,804,883
Bison,55,351,379
SRecode Template,55,4941,5799
Io,54,949,1069
COBOL,54,1935,2209
Terra,53,1651,1990
Eiffel,53,1267,1426
BlitzBasic,52,1607,1842
E,50,1557,1862
Hack,47,1868,2172
eC,46,805,889
RenderScript,45,1307,1459
XML,42,123,137
Rascal,42,3385,4234
Redcode,42,1729,2121
xBase,42,1340,1533
Handlebars,41,110,119
XProc,37,664,733
SMT,37,1129,1235
Squirrel,36,460,500
Stan,36,560,646
DOT,35,69,72
Augeas,35,957,1054
JSONiq,34,803,887
nesC,33,552,599
Objective-J,33,716,780
Metal,30,529,592
Csound Score,30,1300,1588
ABAP,30,1103,1215
Modula-2,29,434,481
Clean,29,807,872
Csound,29,1239,1363
Idris,29,163,177
LilyPond,27,303,330
Csound Document,27,938,1031
Isabelle,26,798,859
